Cam1,Cam2,Temp,Press,Alt,Accel_x2,Accel_y2,Accel_z2,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Quaternion_1,Quaternion_2,Quaternion_3,Quaternion_4,Stage,Time
1,0,25.6944542,904.1245117,950.9443359,-0.2353596,1.6475173,-78.492424,0.229711,0.7034898,-84.0670395,0.0997779,-0.0539563,-0.8329152,1.168907,44.2431335,25.189949,-0.0385818,0.8190207,0.5713505,0.0355872,0,2539661
0,0,25.6905918,903.8640137,953.322937,0,4.2364726,-76.1388321,2.6129622,-0.5742774,-82.2580643,0.1046648,-0.0502911,-0.8634584,0.8766803,44.5353584,25.5990658,-0.0386349,0.8188552,0.5715824,0.0356146,0,2539688
0,0,25.6869678,903.6004028,955.7307739,-0.1176798,0.1176798,-82.1405029,0.6173482,-1.4141581,-84.4977493,0.0790085,-0.0527346,-0.8988886,0.2337814,45.178257,25.5990658,-0.0386845,0.8186818,0.5718272,0.0356158,0,2539714
1,0,25.6825047,903.336792,958.1391602,-0.588399,2.353596,-80.3753052,0.7609176,1.7874386,-82.1790924,0.0961127,-0.0454042,-0.9172145,0.1753361,45.9380493,25.248394,-0.0386961,0.8185033,0.57208,0.0356457,0,2539739
0,0,25.678278,903.0690918,960.585083,0.8237587,3.1773546,-76.4918671,1.5505491,0.3302095,-82.150383,0.1022213,-0.0576215,-0.9465361,-0.7013443,46.1718292,25.7159557,-0.0387399,0.8183157,0.5723433,0.0356801,0,2539765
0,0,25.6756897,902.8029175,963.0178223,1.176798,3.5303938,-79.7869034,0.2225325,-0.7896314,-80.6357346,0.0509087,-0.0515129,-0.9636403,-1.3442432,46.1718292,25.6575108,-0.0387894,0.8181219,0.572616,0.035695,0,2539791
0,1,25.6731758,902.5296021,965.5168457,0.3530394,1.7651969,-79.66922,1.7730815,-1.105484,-81.1525803,0.0594608,-0.0490694,-1.0064008,-2.2209234,47.2238464,25.7744007,-0.0388622,0.8179149,0.5729043,0.0357331,0,2539817
0,1,25.670845,902.2540894,968.0358276,-0.588399,0.2353596,-81.6697845,2.239682,3.5676985,-84.0024338,0.0863388,-0.0478477,-1.0320572,-2.4547048,47.2238464,25.306839,-0.0388828,0.8177012,0.5732027,0.0358167,0,2539842
0,0,25.6685123,901.9663086,970.6686401,0.8237587,-0.1176798,-80.6106644,0.0933201,0.1794617,-84.4474945,0.0167002,-0.0429608,-1.073596,-3.4482758,48.0420799,26.0081825,-0.0389308,0.8174803,0.573512,0.0358555,0,2539868
1,1,25.6664715,901.6654663,973.4210205,0.1176798,1.176798,-78.2570724,-1.198804,-2.5555346,-83.0907669,0.0044829,-0.0270783,-1.1004741,-3.9742839,48.5680885,25.306839,-0.0390026,0.8172511,0.5738335,0.0358578,0,2539894
0,0,25.6639214,901.3709717,976.1154785,-1.176798,0,-81.0813828,0.6819544,0.5814559,-84.1747055,0.0118133,-0.0331869,-1.115135,-4.6171827,49.2109871,25.5990658,-0.0390555,0.8170131,0.5741652,0.0359144,0,2539920
1,0,25.6620083,901.0643921,978.9229126,-0.9414384,2.7066355,-78.1393814,0.782453,-1.0911272,-83.9665451,0.0154785,-0.009974,-1.1664475,-5.0847454,49.0356522,25.365284,-0.0391328,0.8167688,0.5745046,0.035962,0,2539945
0,1,25.6600056,900.7636108,981.6769409,0.2353596,2.1182363,-78.6101074,-0.7609176,4.0199418,-84.6987457,-0.032169,-0.0063089,-1.205543,-6.3705435,49.7369957,25.8912926,-0.0391414,0.8165115,0.5748643,0.0360465,0,2539971
